SKU,Name,Category,Схема,Brand,Niche,Seller,Balance,Balance FBS,Warehouses count,Comments,Final price,Max price,Min price,Average price,Median price,Цена с Ozon картой,Sales,Revenue,Revenue potential,Revenue average,Lost profit,Lost profit percent,URL,Thumb,Pics Count,Has Video,First Date,Days in website,Days in stock,Days with sales,Average if in stock,Rating,FBS,Base price,Category Position,Categories Last Count,Sales Per Day Average,Turnover,Frozen stocks,Frozen stocks cost,Frozen stocks percent
1709705568,настенная карта Пензенской области 95 х 141 см (на баннере),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Большие настенные карты,0,100,1,0,1758,1820,1748,0,"1761,5",1627,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1709705568/,https://cdn1.ozone.ru/s3/multimedia-m/6227260462.jpg,6,0,45566,173,0,0,0,0,1,2437,4520,1,0,0,0,0,0
1391487768,Настенная политичеcкая карта Евразии /размер 202х143 см/ матовая ламинация,,FBS,Атлас Принт,Канцелярские товары/Бумажная продукция/Карты мира,атлас-карта,0,19,1,102,2193,2841,2190,0,2821,2023,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1391487768/,https://cdn1.ozone.ru/s3/multimedia-x/6738274437.jpg,2,0,45310,429,0,0,0,"4,9",1,3250,0,1,0,0,0,0,0
1706808138,настенная карта Республики Чувашия 138 х 115 см (на холсте),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Большие настенные карты,0,100,1,0,4117,4136,4084,0,"4117,5",3803,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1706808138/,https://cdn1.ozone.ru/s3/multimedia-7/6831135943.jpg,6,0,45564,175,0,0,0,0,1,5394,4933,1,0,0,0,0,0
1706808348,настенная карта Челябинской области 145 х 121 см (на самоклеющейся плёнке),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Большие настенные карты,0,100,1,0,2887,2894,2863,0,2887,2675,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1706808348/,https://cdn1.ozone.ru/s3/multimedia-1-k/7092452288.jpg,6,0,45563,176,0,0,0,0,1,3961,4692,1,0,0,0,0,0
522691038,GLOBUSOFF Административная карта,Канцелярские товары/Бумажная продукция/Карты мира,FBS,GLOBUSOFF,Канцелярские товары/Бумажная продукция/Карты мира,Good goods,0,1,1,4,2233,2303,2208,0,2233,2060,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/522691038/,https://cdn1.ozone.ru/s3/multimedia-m/6272484418.jpg,2,0,44644,1095,0,0,0,5,1,3600,684,1,0,0,0,0,0
1811509608,настенная карта Томской области 129 х 100 см (на баннере),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",ОТРОК - Большие настенные карты,0,100,1,0,2049,2123,2039,0,"2053,5",1897,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1811509608/,https://cdn1.ozone.ru/s3/multimedia-1-s/7222674592.jpg,6,0,45660,79,0,0,0,0,1,3176,4413,1,0,0,0,0,0
1747292208,Настенная карта Тверской области 170 х 130 см (на баннере),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Настенные карты,0,99,1,0,3551,3600,3500,0,3551,3280,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1747292208/,https://cdn1.ozone.ru/s3/multimedia-1-b/7105124063.jpg,6,0,45599,140,0,0,0,0,1,4825,4442,1,0,0,0,0,0
1545889848,Общегеографическая карта Казахстана с автодорогами,Канцелярские товары/Бумажная продукция/Карты мира,FBS,Омская картографическая фабрика,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Омская картографическая фабрика,0,10,1,149,186,216,139,0,214,180,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1545889848/,https://cdn1.ozone.ru/s3/multimedia-1-l/7000548645.jpg,4,0,45399,340,0,0,0,"4,8",1,285,318,1,0,0,0,0,0
1706807958,Настенная карта Волгоградской области 116х100 см (с подвесом),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Большие настенные карты,0,100,1,0,2295,2367,2269,0,2295,2117,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1706807958/,https://cdn1.ozone.ru/s3/multimedia-t/6042952817.jpg,6,0,45563,176,0,0,0,0,1,3075,4490,1,0,0,0,0,0
555477678,настенная карта Ленинградской области 117 х 170 см (с подвесом),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",ОТРОК - Настенные карты,0,998,1,4,3893,3946,3837,0,3893,3596,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/555477678/,https://cdn1.ozone.ru/s3/multimedia-w/6295300076.jpg,6,0,44665,1074,0,0,0,0,1,5455,2970,1,0,0,0,0,0
716054868,Настенная карта Пензенской области 116 х 172 см (с подвесом),Канцелярские товары/Бумажная продукция/Карты мира,FBS,,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК Настенные карты,0,1000,1,0,3723,3803,3676,0,3723,3439,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/716054868/,https://cdn1.ozone.ru/s3/multimedia-j/6227261035.jpg,6,0,44821,918,0,0,0,0,1,4875,2957,1,0,0,0,0,0
542331468,Настенная карта Пензенской области 95 х 140 см (на холсте),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Настенные карты,0,1000,1,0,3743,3793,3689,0,3743,3457,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/542331468/,https://cdn1.ozone.ru/s3/multimedia-m/6227260462.jpg,6,0,44657,1082,0,0,0,0,1,4864,4845,1,0,0,0,0,0
1842782388, Географическая карта,Канцелярские товары/Бумажная продукция/Карты мира,FBS,,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Книги нашего города,0,4,1,0,329,329,307,0,308,319,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1842782388/,https://cdn1.ozone.ru/s3/multimedia-1-a/7114341322.jpg,2,0,45680,59,0,0,0,0,1,428,1449,1,0,0,0,0,0
829629288,Настенная карта Тверской области 143 х 113 см (на холсте),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Настенные карты,0,1000,1,0,4144,4201,4085,0,4144,3828,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/829629288/,https://cdn1.ozone.ru/s3/multimedia-1-b/7105124063.jpg,6,0,44926,813,0,0,0,0,1,5405,4899,1,0,0,0,0,0
636503718,настенная карта Владимирской области 153 х 103 см (на баннере),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Настенные карты,0,995,1,2,2099,2170,2093,0,"2124,5",1942,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/636503718/,https://cdn1.ozone.ru/s3/multimedia-n/6366712799.jpg,6,0,44749,990,0,0,0,0,1,2949,879,1,0,0,0,0,0
1388583618,"Административная карта АГТ Геоцентр 150 x 207 см, масштаб: 1:20 000",,FBO,АГТ Геоцентр,Канцелярские товары/Бумажная продукция/Карты мира,ГЕО-ТРЕЙД оптовые продажи,0,12,1,24,4391,5928,4333,0,"5877,5",4072,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1388583618/,https://cdn1.ozone.ru/s3/multimedia-e/6247506134.jpg,6,0,45308,431,0,0,0,"4,6",1,8000,0,1,0,0,0,0,0
1709669748,настенная карта Крыма 74 х 121 см (на самоклеющейся пленке),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Большие настенные карты,0,100,1,0,1324,1371,1315,0,"1325,5",1229,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1709669748/,https://cdn1.ozone.ru/s3/multimedia-1-1/7045857037.jpg,6,0,45566,173,0,0,0,0,1,1764,4426,1,0,0,0,0,0
1751759928,"Карта мира политическая 117х80 см, 1:28М, с ламинацией, интерактивная, в тубусе, BRAUBERG, 112385",,FBS,Brauberg,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Все Хозтовары,0,866,0,0,954,990,948,0,984,884,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1751759928/,https://cdn1.ozone.ru/s3/multimedia-p/6533465593.jpg,6,0,45605,134,0,0,0,0,1,1233,0,0,0,0,0,0,0
1710839628,"Самарская область, агропромышленная карта 112 х 106 см (на баннере)",Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Большие настенные карты,0,99,1,0,3730,3747,3699,0,"3730,5",3445,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1710839628/,https://cdn1.ozone.ru/s3/multimedia-a/6025996870.jpg,2,0,45567,172,0,0,0,0,1,4784,4348,1,0,0,0,0,0
1706808408,настенная карта Свердловской области 105 х 123 см (на самоклеющейся плёнке),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",ОТРОК - Большие настенные карты,0,100,1,0,1694,1757,1685,0,"1695,5",1573,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1706808408/,https://cdn1.ozone.ru/s3/multimedia-7/6375756955.jpg,6,0,45563,176,0,0,0,0,1,2361,3794,1,0,0,0,0,0
